name,generation,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,,,,,,,,,,,,,,,,,
Bulbasaur,1,2,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,318,45,49,49,45,45,70,64,Medium Slow,2,Grass,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Ivysaur,1,2,Grass,Poison,1,13,2,Overgrow,,Chlorophyll,405,60,62,63,60,45,70,142,Medium Slow,2,Grass,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Venusaur,1,2,Grass,Poison,2,100,2,Overgrow,,Chlorophyll,525,80,82,83,80,45,70,236,Medium Slow,2,Grass,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Mega Venusaur,1,2,Grass,Poison,2.4,155.5,1,Thick Fat,,,625,80,100,123,80,45,70,281,Medium Slow,2,Grass,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Charmander,1,1,Fire,,0.6,8.5,2,Blaze,,Solar Power,309,39,52,43,65,45,70,62,Medium Slow,2,Dragon,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Charmeleon,1,1,Fire,,1.1,19,2,Blaze,,Solar Power,405,58,64,58,80,45,70,142,Medium Slow,2,Dragon,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Charizard,1,2,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,534,78,84,78,100,45,70,240,Medium Slow,2,Dragon,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Mega Charizard X,1,2,Fire,Dragon,1.7,110.5,1,Tough Claws,,,634,78,130,111,100,45,70,285,Medium Slow,2,Dragon,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Mega Charizard Y,1,2,Fire,Flying,1.7,100.5,1,Drought,,,634,78,104,78,100,45,70,285,Medium Slow,2,Dragon,Monster,87.5,20,1,,,,,,,,,,,,,,,,,
Squirtle,1,1,Water,,0.5,9,2,Torrent,,Rain Dish,314,44,48,65,43,45,70,63,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Wartortle,1,1,Water,,1,22.5,2,Torrent,,Rain Dish,405,59,63,80,58,45,70,142,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Blastoise,1,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,530,79,83,100,78,45,70,239,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Mega Blastoise,1,1,Water,,1.6,101.1,1,Mega Launcher,,,630,79,103,120,78,45,70,284,Medium Slow,2,Monster,Water 1,87.5,20,1,,,,,,,,,,,,,,,,,
Caterpie,1,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195,45,30,35,45,255,70,39,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Metapod,1,1,Bug,,0.7,9.9,1,Shed Skin,,,205,50,20,55,30,120,70,72,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Butterfree,1,2,Bug,Flying,1.1,32,2,Compound Eyes,,Tinted Lens,395,60,45,50,70,45,70,178,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Weedle,1,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195,40,35,30,50,255,70,39,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Kakuna,1,2,Bug,Poison,0.6,10,1,Shed Skin,,,205,45,25,50,35,120,70,72,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Beedrill,1,2,Bug,Poison,1,29.5,2,Swarm,,Sniper,395,65,90,40,75,45,70,178,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
Mega Beedrill,1,2,Bug,Poison,1.4,40.5,1,Adaptability,,,495,65,150,40,145,45,70,223,Medium Fast,1,Bug,,50,15,1,,,,,,,,,,,,,,,,,
